config_key,dataset,evidence_pos,density,interference,status,num_sequences,avg_detections,std_detections,min_detections,max_detections,pct_with_detections
"('05_stackmath_numerical', 'Mid', 'Medium', 'P')",05_stackmath_numerical,Mid,Medium,P,success,18,0.5555555555555556,0.9558139185602919,0,3,27.77777777777778
"('05_stackmath_numerical', 'Mid', 'Medium', 'T')",05_stackmath_numerical,Mid,Medium,T,success,18,1.2777777777777777,3.8268866887321162,0,16,16.666666666666664
"('06_policy_compliance', 'Beg', 'High', 'N')",06_policy_compliance,Beg,High,N,success,20,2.75,5.990617664314757,0,22,25.0
"('06_policy_compliance', 'Beg', 'High', 'P')",06_policy_compliance,Beg,High,P,success,20,1.7,3.9761790704142084,0,17,25.0
"('06_policy_compliance', 'Beg', 'High', 'T')",06_policy_compliance,Beg,High,T,success,20,0.75,1.5124483462254175,0,6,25.0
"('06_policy_compliance', 'Beg', 'Low', 'N')",06_policy_compliance,Beg,Low,N,success,15,1.4,5.238320341483518,0,21,6.666666666666667
"('06_policy_compliance', 'Beg', 'Low', 'P')",06_policy_compliance,Beg,Low,P,success,20,1.15,2.815581645060217,0,12,20.0
"('06_policy_compliance', 'Beg', 'Low', 'T')",06_policy_compliance,Beg,Low,T,success,17,0.058823529411764705,0.23529411764705885,0,1,5.88235294117647
"('06_policy_compliance', 'Beg', 'Medium', 'N')",06_policy_compliance,Beg,Medium,N,success,16,0.4375,1.1709371246996996,0,4,12.5
"('06_policy_compliance', 'Beg', 'Medium', 'P')",06_policy_compliance,Beg,Medium,P,success,20,1.55,2.3553131426627756,0,7,35.0
"('06_policy_compliance', 'Beg', 'Medium', 'T')",06_policy_compliance,Beg,Medium,T,success,18,1.2777777777777777,2.129307544081867,0,7,33.33333333333333
"('06_policy_compliance', 'End', 'High', 'N')",06_policy_compliance,End,High,N,success,18,2.0555555555555554,4.061639272540942,0,12,22.22222222222222
"('06_policy_compliance', 'End', 'High', 'P')",06_policy_compliance,End,High,P,success,20,0.7,1.7916472867168918,0,7,15.0
"('06_policy_compliance', 'End', 'High', 'T')",06_policy_compliance,End,High,T,success,20,0.95,1.8296174463531987,0,6,25.0
"('06_policy_compliance', 'End', 'Low', 'N')",06_policy_compliance,End,Low,N,success,18,0.0,0.0,0,0,0.0
"('06_policy_compliance', 'End', 'Low', 'P')",06_policy_compliance,End,Low,P,success,20,0.5,1.7748239349298849,0,8,10.0
"('06_policy_compliance', 'End', 'Low', 'T')",06_policy_compliance,End,Low,T,success,16,0.75,2.1937410968480306,0,9,18.75
"('06_policy_compliance', 'End', 'Medium', 'N')",06_policy_compliance,End,Medium,N,success,19,3.1578947368421053,9.761703679469163,0,40,10.526315789473683
"('06_policy_compliance', 'End', 'Medium', 'P')",06_policy_compliance,End,Medium,P,success,20,1.95,2.8191310718020897,0,10,40.0
"('06_policy_compliance', 'End', 'Medium', 'T')",06_policy_compliance,End,Medium,T,success,20,0.45,1.3592277219068185,0,5,10.0
"('06_policy_compliance', 'Mid', 'High', 'N')",06_policy_compliance,Mid,High,N,success,18,0.0,0.0,0,0,0.0
"('06_policy_compliance', 'Mid', 'High', 'P')",06_policy_compliance,Mid,High,P,success,20,0.0,0.0,0,0,0.0
"('06_policy_compliance', 'Mid', 'High', 'T')",06_policy_compliance,Mid,High,T,success,20,2.4,6.1757590626578045,0,27,20.0
"('06_policy_compliance', 'Mid', 'Low', 'N')",06_policy_compliance,Mid,Low,N,success,17,0.35294117647058826,0.9665692191267636,0,3,11.76470588235294
"('06_policy_compliance', 'Mid', 'Low', 'P')",06_policy_compliance,Mid,Low,P,success,19,0.6842105263157895,1.893274289326837,0,8,15.789473684210526
"('06_policy_compliance', 'Mid', 'Low', 'T')",06_policy_compliance,Mid,Low,T,success,17,0.0,0.0,0,0,0.0
"('06_policy_compliance', 'Mid', 'Medium', 'N')",06_policy_compliance,Mid,Medium,N,success,16,2.0625,4.8278974460939,0,18,18.75
"('06_policy_compliance', 'Mid', 'Medium', 'P')",06_policy_compliance,Mid,Medium,P,success,20,2.3,3.9,0,11,30.0
"('06_policy_compliance', 'Mid', 'Medium', 'T')",06_policy_compliance,Mid,Medium,T,success,20,0.0,0.0,0,0,0.0
"('07_expert_legal_med', 'Beg', 'High', 'N')",07_expert_legal_med,Beg,High,N,success,18,0.3888888888888889,1.2082535094961968,0,5,11.11111111111111
"('07_expert_legal_med', 'Beg', 'High', 'P')",07_expert_legal_med,Beg,High,P,success,20,0.6,1.2806248474865698,0,4,20.0
"('07_expert_legal_med', 'Beg', 'High', 'T')",07_expert_legal_med,Beg,High,T,success,20,1.45,3.2167530212933664,0,10,20.0
"('07_expert_legal_med', 'Beg', 'Low', 'N')",07_expert_legal_med,Beg,Low,N,success,17,0.0,0.0,0,0,0.0
"('07_expert_legal_med', 'Beg', 'Low', 'P')",07_expert_legal_med,Beg,Low,P,success,19,0.5263157894736842,1.0447070126989058,0,3,21.052631578947366
"('07_expert_legal_med', 'Beg', 'Low', 'T')",07_expert_legal_med,Beg,Low,T,success,20,0.55,1.359227721906819,0,5,15.0
"('07_expert_legal_med', 'Beg', 'Medium', 'N')",07_expert_legal_med,Beg,Medium,N,success,18,0.0,0.0,0,0,0.0
"('07_expert_legal_med', 'Beg', 'Medium', 'P')",07_expert_legal_med,Beg,Medium,P,success,20,0.7,1.268857754044952,0,4,25.0
"('07_expert_legal_med', 'Beg', 'Medium', 'T')",07_expert_legal_med,Beg,Medium,T,success,20,1.45,3.5563323804166562,0,14,20.0
"('07_expert_legal_med', 'End', 'High', 'N')",07_expert_legal_med,End,High,N,success,18,0.3333333333333333,1.3743685418725538,0,6,5.555555555555555
"('07_expert_legal_med', 'End', 'High', 'P')",07_expert_legal_med,End,High,P,success,20,1.0,1.9235384061671346,0,6,25.0
"('07_expert_legal_med', 'End', 'High', 'T')",07_expert_legal_med,End,High,T,success,20,2.5,5.103920062069938,0,16,20.0
"('07_expert_legal_med', 'End', 'Low', 'N')",07_expert_legal_med,End,Low,N,success,18,0.2222222222222222,0.9162456945817024,0,4,5.555555555555555
